"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Ecommerce App","Cart","Verify that removing items from the cart works correctly","0","0","1","0","0"
"Ecommerce App","Login","Verify that the user can login successfully with valid credentials","0","0","0","2","0"
"Ecommerce App","Register","Verify that the user can register successfully","0","0","0","1","0"
"Ecommerce App","Checkout","Verify that the checkout flow works correctly","0","0","1","0","0"
"Ecommerce App","Register","Verify that the user cannot register with mismatch password","0","0","0","1","0"
"Ecommerce App","Register","Verify that the user cannot register with invalid email","0","0","0","1","0"
"Ecommerce App","Cart","Verify that the cart total calculation is correct","0","0","1","0","0"
"Ecommerce App","Register","Verify that the user cannot register with missing data","0","0","0","1","0"
"Ecommerce App","Checkout","Verify that the checkout flow works correctly with missing data","0","0","1","0","0"
"Ecommerce App","Home Page","Verify that the register link is displayed on the home page","0","0","0","1","0"
"Ecommerce App","Home Page","Verify that the search input field is displayed on the home page","0","0","0","1","0"
"Ecommerce App","Product Page","Verify that the product details are displayed correctly","0","0","0","1","0"
"Ecommerce App","Cart","Verify that adding items to the cart works correctly","0","0","1","0","0"
"","","","0","3","0","0","0"
"Ecommerce App","Home Page","Verify that the top header menu options are displayed on the home page","0","0","0","1","0"
"Ecommerce App","Home Page","Verify that the main logo is displayed on the home page","0","0","0","1","0"
"Ecommerce App","Security","Verify that the application is protected against SQL injection and script injection","0","0","2","0","0"
